CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,small1,small5,small10,small25,small50,large1,large5,large10,large25,large50,B201_01,B205_01,B206_01,B202,B207,B208,B209,SD01,SD02_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
328,,,qnr2,interview,2024-06-05 10:35:17,18.75,-58.75,-58.75,-21.25,18.75,281.25,281.25,-581.25,281.25,-581.25,50,45,35,4,5,5,5,1,29,3,30,132,5,45,7,14,236,,2024-06-05 10:39:13,1,0,7,7,0,0,1.88
330,,,qnr2,interview,2024-06-05 10:37:21,18.75,18.75,-1.25,-31.25,-18.75,281.25,281.25,18.75,-18.75,-131.25,15,15,10,2,3,4,4,1,26,3,517,1578,4,270,6,3,630,,2024-06-05 11:17:02,1,0,7,7,0,0,1.36
336,,,qnr2,interview,2024-06-05 10:42:33,3.75,-6.25,-8.75,-28.75,-36.25,56.25,-93.75,-168.75,-318.75,-206.25,50,50,50,5,5,5,5,1,30,2,826,658,231,88,5,15,856,,2024-06-05 11:12:58,1,0,7,7,0,0,0.94
339,,,qnr2,interview,2024-06-05 10:53:56,18.75,16.25,11.25,-1.25,-36.25,281.25,281.25,281.25,168.75,18.75,15,15,10,2,3,3,3,2,26,3,36,933,8,188,9,38,538,,2024-06-05 11:14:11,1,0,7,7,0,0,1.19
342,,,qnr2,interview,2024-06-05 11:35:25,-33.75,-36.25,-38.75,-58.75,-51.25,-581.25,-693.75,-693.75,-656.25,-881.25,40,20,30,4,3,3,4,1,23,4,104,282,6,126,5,21,548,,2024-06-05 11:44:33,1,0,7,7,0,0,1.24
347,,,qnr2,interview,2024-06-05 12:36:24,-58.75,1.25,-58.75,-58.75,-58.75,281.25,-393.75,-881.25,-881.25,-881.25,20,50,30,3,4,3,4,1,,11,90,154,7,106,42,,375,,2024-06-05 12:43:15,0,0,6,6,11,11,1.19
348,,,qnr2,interview,2024-06-05 12:43:25,18.75,-33.75,-23.75,-36.25,-58.75,206.25,-18.75,-356.25,-468.75,-881.25,20,40,25,3,4,4,4,1,30,2,2,151,3,35,13,88,218,,2024-06-05 12:48:19,1,0,7,7,0,0,2.01
350,,,qnr2,interview,2024-06-05 13:23:34,-3.75,-36.25,-33.75,-31.25,-36.25,-318.75,-506.25,-356.25,-768.75,-806.25,40,50,15,5,5,3,5,1,29,3,39,1817,13,65,5,8,415,,2024-06-05 13:56:04,1,0,7,7,0,0,1.43
352,,,qnr2,interview,2024-06-05 14:18:45,18.75,18.75,-38.75,-38.75,-41.25,281.25,-393.75,281.25,-656.25,-581.25,50,50,50,5,5,5,5,2,28,1,139,480,130,296,8,23,786,,2024-06-05 14:36:42,1,0,7,7,0,0,0.86
353,,,qnr2,interview,2024-06-05 14:29:21,-38.75,-41.25,-41.25,-38.75,-41.25,-318.75,-618.75,-881.25,-581.25,-768.75,25,20,20,3,2,3,3,1,24,60,3,230,28,133,9,13,421,,2024-06-05 14:37:17,1,0,7,7,0,0,1.11
354,,,qnr2,interview,2024-06-05 15:33:42,18.75,18.75,18.75,-46.25,-51.25,243.75,281.25,281.25,281.25,-843.75,50,50,50,2,4,3,4,2,25,2,62,281,46,126,7,13,537,,2024-06-05 15:42:39,1,0,7,7,0,0,1.12
355,,,qnr2,interview,2024-06-05 15:49:20,-18.75,-36.25,-33.75,-33.75,-36.25,-581.25,-543.75,-581.25,-581.25,-881.25,15,30,20,4,3,4,4,1,22,4,37,163,2,64,6,21,297,,2024-06-05 15:54:17,1,0,7,7,0,0,1.59
364,,,qnr2,interview,2024-06-05 20:51:45,18.75,18.75,18.75,18.75,-36.25,281.25,281.25,281.25,281.25,-318.75,50,50,50,5,3,5,5,1,24,6,38,367,17,55,7,10,500,,2024-06-05 21:00:05,1,0,7,7,0,0,1.28
365,,,qnr2,interview,2024-06-06 10:18:41,-43.75,-41.25,-38.75,-41.25,-46.25,-656.25,-768.75,-693.75,-731.25,-731.25,30,35,10,4,5,3,4,2,26,2,4,161,3,172,6,12,360,,2024-06-06 10:24:41,1,0,7,7,0,0,1.86
368,,,qnr2,interview,2024-06-06 12:49:43,18.75,-6.25,-11.25,16.25,-58.75,281.25,-318.75,18.75,281.25,-281.25,50,30,20,1,1,1,1,2,25,1,36,156,2,58,4,4,261,,2024-06-06 12:54:04,1,0,7,7,0,0,2.31
375,,,qnr2,interview,2024-06-06 15:28:50,11.25,11.25,11.25,-58.75,-58.75,168.75,168.75,131.25,-881.25,-881.25,12,12,12,2,5,3,3,2,21,8,99,262,63,388,8,4,553,,2024-06-06 15:42:42,1,0,7,7,0,0,0.99
381,,,qnr2,interview,2024-06-06 17:32:26,18.75,18.75,18.75,-1.25,-1.25,281.25,281.25,281.25,-18.75,-18.75,25,25,25,2,2,2,3,1,26,2,84,283,41,103,8,16,537,,2024-06-06 17:41:23,1,0,7,7,0,0,1.08
387,,,qnr2,interview,2024-06-06 19:23:08,1.25,-21.25,1.25,-38.75,-41.25,18.75,-206.25,-468.75,-768.75,-881.25,50,50,50,4,5,3,5,2,27,1,2,172,18,59,7,12,271,,2024-06-06 19:27:39,1,0,7,7,0,0,1.85
396,,,qnr2,interview,2024-06-08 12:51:31,18.75,-11.25,-11.25,-38.75,-43.75,93.75,-18.75,-393.75,-393.75,-431.25,10,50,30,4,5,3,4,2,30,4,61,531,36,96,6,12,746,,2024-06-08 13:03:58,1,0,7,7,0,0,0.97
397,,,qnr2,interview,2024-06-08 12:51:46,18.75,3.75,-38.75,-48.75,-51.25,281.25,-543.75,-543.75,-581.25,-881.25,50,25,35,5,5,5,5,1,54,5,119,1338,85,152,7,40,662,,2024-06-08 13:20:52,1,0,7,7,0,0,0.58
399,,,qnr2,interview,2024-06-08 13:09:12,16.25,6.25,-8.75,-33.75,6.25,18.75,-506.25,-243.75,-731.25,-693.75,50,10,20,3,4,4,5,2,59,17,58,432,13452,74,11,7,625,,2024-06-08 17:03:23,1,0,7,7,0,0,0.83
401,,,qnr2,interview,2024-06-08 16:49:22,-56.25,-58.75,-56.25,-46.25,-56.25,-806.25,-693.75,131.25,-806.25,-731.25,25,25,25,5,4,4,5,1,52,3,3,177,22,75,8,12,300,,2024-06-08 16:54:22,1,0,7,7,0,0,1.54
413,,,qnr2,interview,2024-06-08 22:36:55,18.75,18.75,18.75,18.75,18.75,281.25,18.75,-881.25,-881.25,-881.25,1,1,1,3,3,3,3,1,19,8,37,160,2,28,14,12,261,,2024-06-08 22:41:16,1,0,7,7,0,0,1.65
414,,,qnr2,interview,2024-06-08 22:42:14,18.75,18.75,18.75,18.75,18.75,281.25,281.25,281.25,-881.25,-881.25,1,1,1,3,2,3,3,1,20,2,3,89,2,146,6,1,249,,2024-06-08 22:46:23,1,0,7,7,0,0,2.34
415,,,qnr2,interview,2024-06-09 00:15:13,18.75,-16.25,-1.25,-18.75,-41.25,-431.25,-618.75,-618.75,-768.75,-693.75,10,50,30,2,5,4,3,2,20,3,65,138,44,138,4,5,397,,2024-06-09 00:21:50,1,0,7,7,0,0,1.46
416,,,qnr2,interview,2024-06-09 14:29:39,18.75,1.25,8.75,-21.25,-13.75,131.25,-131.25,-18.75,-393.75,-356.25,50,50,50,5,3,5,5,2,27,1,2,271,28,69,6,9,386,,2024-06-09 14:36:06,1,0,7,7,0,0,1.72
417,,,qnr2,interview,2024-06-10 12:43:27,18.75,18.75,13.75,6.25,-48.75,281.25,243.75,131.25,-318.75,-618.75,30,50,50,5,5,5,5,2,26,2,2,210,3,23,5,2,247,,2024-06-10 12:47:34,1,0,7,7,0,0,2.46
418,,,qnr2,interview,2024-06-11 13:32:54,16.25,18.75,13.75,3.75,3.75,281.25,281.25,206.25,56.25,168.75,45,50,30,5,5,4,5,2,33,23,97,443,41,283,9,24,902,,2024-06-11 13:48:14,1,0,7,7,0,0,0.54
422,,,qnr2,interview,2024-06-12 13:55:46,18.75,18.75,18.75,18.75,-18.75,281.25,281.25,281.25,281.25,281.25,50,50,50,2,4,2,4,2,28,2,15,331,35,47,4,9,443,,2024-06-12 14:03:09,1,0,7,7,0,0,1.79
423,,,qnr2,interview,2024-06-12 13:58:34,-41.25,-41.25,-56.25,18.75,-51.25,281.25,281.25,281.25,168.75,-18.75,30,40,50,3,4,5,4,1,33,6,50,257,3,92,6,3,417,,2024-06-12 14:05:31,1,0,7,7,0,0,1.65
424,,,qnr2,interview,2024-06-12 13:59:45,-41.25,-41.25,-46.25,-41.25,-41.25,-768.75,-768.75,-843.75,-731.25,-806.25,10,15,15,1,4,4,3,2,37,8,2,129,2,103,4,12,260,,2024-06-12 14:04:05,1,0,7,7,0,0,1.8
425,,,qnr2,interview,2024-06-12 14:00:04,18.75,11.25,11.25,11.25,-58.75,281.25,168.75,168.75,168.75,-656.25,50,10,25,3,3,4,5,2,23,2,62,195,51,108,5,13,436,,2024-06-12 14:07:20,1,0,7,7,0,0,1.26
428,,,qnr2,interview,2024-06-12 21:47:05,-58.75,-58.75,18.75,18.75,-58.75,-881.25,-881.25,-881.25,-281.25,-881.25,50,50,50,5,5,5,5,2,50,3,91,339,52,72,10,7,574,,2024-06-12 21:56:40,1,0,7,7,0,0,1.09
434,,,qnr2,interview,2024-06-13 16:48:55,-18.75,-38.75,-48.75,-58.75,-56.25,-318.75,-393.75,-581.25,-618.75,-881.25,50,50,50,4,4,5,5,2,24,5,44,346,11,61,6,11,484,,2024-06-13 16:56:59,1,0,7,7,0,0,1.38
461,,,qnr2,interview,2024-06-13 17:45:30,-18.75,-38.75,-38.75,-38.75,-38.75,-581.25,-581.25,-581.25,-581.25,-693.75,30,40,30,3,4,3,4,1,25,11,99,323,53,136,8,9,639,,2024-06-13 17:56:09,1,0,7,7,0,0,0.78
465,,,qnr2,interview,2024-06-13 23:33:49,18.75,18.75,3.75,-28.75,-23.75,243.75,-18.75,-243.75,-206.25,-168.75,50,50,40,4,4,4,5,2,29,21,66,240,29,96,7,19,478,,2024-06-13 23:41:47,1,0,7,7,0,0,0.86
469,,,qnr2,interview,2024-06-15 10:38:48,18.75,-58.75,18.75,-58.75,-58.75,281.25,281.25,281.25,-881.25,-881.25,30,18,10,3,4,3,4,1,72,5,76,441,47,239,14,19,841,,2024-06-15 10:52:49,1,0,7,7,0,0,0.66
470,,,qnr2,interview,2024-06-15 23:29:25,-18.75,-38.75,-31.25,-38.75,-46.25,-281.25,-281.25,-618.75,-806.25,-806.25,50,50,25,3,2,4,4,2,27,12,122,424,39,187,8,11,803,,2024-06-15 23:42:48,1,0,7,7,0,0,0.69
476,,,qnr2,interview,2024-06-16 10:58:24,-41.25,-38.75,-18.75,-28.75,-53.75,-318.75,-618.75,-581.25,-806.25,-843.75,50,50,15,5,5,4,5,1,30,1,3,547,26,136,5,5,723,,2024-06-16 11:10:27,1,0,7,7,0,0,1.73
480,,,qnr2,interview,2024-06-16 13:55:46,18.75,-1.25,-11.25,-36.25,-38.75,281.25,243.75,-468.75,-506.25,-731.25,49,50,35,4,4,3,4,2,25,3,5,246,47,138,7,9,455,,2024-06-16 14:03:21,1,0,7,7,0,0,1.36
487,,,qnr2,interview,2024-06-17 13:50:47,18.75,13.75,-41.25,-43.75,-33.75,281.25,-18.75,-318.75,-468.75,-618.75,40,5,10,4,2,2,5,1,27,2,74,272,32,162,10,17,569,,2024-06-17 14:00:16,1,0,7,7,0,0,1.04
490,,,qnr2,interview,2024-06-17 14:02:25,18.75,18.75,18.75,-58.75,-58.75,281.25,-18.75,-168.75,-881.25,-881.25,50,50,50,5,5,5,5,1,50,20,71,470,49,150,7,23,790,,2024-06-17 14:15:35,1,0,7,7,0,0,0.64
491,,,qnr2,interview,2024-06-17 14:03:23,11.25,3.75,6.25,-33.75,-41.25,281.25,56.25,168.75,56.25,-581.25,40,40,40,5,5,5,5,1,28,29,198,226,31,67,13,29,416,,2024-06-17 14:13:16,1,0,7,7,0,0,0.74
493,,,qnr2,interview,2024-06-17 19:22:21,-6.25,18.75,-33.75,-38.75,-58.75,-93.75,-468.75,-93.75,-281.25,-581.25,1,1,1,3,2,2,2,1,59,3,98,257,22,73,10,9,472,,2024-06-17 19:30:13,1,0,7,7,0,0,1.16
502,,,qnr2,interview,2024-06-17 20:42:12,18.75,11.25,8.75,-6.25,-41.25,281.25,-393.75,56.25,-393.75,-581.25,50,50,50,5,5,5,5,1,44,6,51,289,29,80,6,26,487,,2024-06-17 20:50:19,1,0,7,7,0,0,0.99
503,,,qnr2,interview,2024-06-17 20:42:53,18.75,13.75,18.75,1.25,-1.25,281.25,168.75,168.75,131.25,-356.25,50,50,10,3,5,3,5,2,44,13,67,374,3,349,8,13,587,,2024-06-17 20:56:40,1,0,7,7,0,0,1.02
507,,,qnr2,interview,2024-06-17 20:44:40,18.75,-51.25,-58.75,18.75,-43.75,-618.75,-843.75,281.25,168.75,18.75,40,50,30,3,4,3,3,1,72,9,88,677,91,167,12,11,1055,,2024-06-17 21:02:15,1,0,7,7,0,0,0.61
517,,,qnr2,interview,2024-06-17 20:51:12,18.75,-21.25,-41.25,-41.25,-43.75,281.25,-581.25,-843.75,-768.75,-768.75,50,50,50,5,5,4,5,2,28,2,33,200,4,81,7,8,335,,2024-06-17 20:56:47,1,0,7,7,0,0,1.8
520,,,qnr2,interview,2024-06-17 20:58:16,-56.25,-53.75,-58.75,-58.75,-51.25,-318.75,-431.25,-318.75,-131.25,-881.25,30,20,30,4,2,5,4,1,63,6,35,345,16,114,9,9,534,,2024-06-17 21:07:10,1,0,7,7,0,0,1.16
527,,,qnr2,interview,2024-06-17 21:48:31,-11.25,-18.75,-23.75,-11.25,-18.75,-206.25,-206.25,-206.25,-393.75,-431.25,25,30,30,4,3,4,4,1,67,6,69,591,64,310,32,16,862,,2024-06-17 22:06:39,1,0,7,7,0,0,0.56
532,,,qnr2,interview,2024-06-18 10:12:59,-48.75,-48.75,-48.75,-48.75,-48.75,-768.75,-693.75,-768.75,-881.25,-843.75,30,40,30,4,5,3,4,1,48,8,57,254,35,133,6,4,497,,2024-06-18 10:21:16,1,0,7,7,0,0,1.22
542,,,qnr2,interview,2024-06-18 14:46:25,18.75,-43.75,-46.25,-48.75,-58.75,-356.25,-806.25,-881.25,-806.25,-881.25,40,45,40,2,3,2,2,2,72,13,114,317,16,156,11,8,635,,2024-06-18 14:57:00,1,0,7,7,0,0,0.9
551,,,qnr2,interview,2024-06-20 08:55:10,18.75,-41.25,-51.25,-56.25,-58.75,-318.75,-618.75,-768.75,-881.25,-881.25,10,10,5,3,3,2,2,2,33,2,92,282,53,142,16,14,592,,2024-06-20 09:05:11,1,0,7,7,0,0,0.96
552,,,qnr2,interview,2024-06-21 09:27:49,-41.25,-41.25,-43.75,-38.75,-38.75,-618.75,-618.75,-618.75,-618.75,-618.75,50,50,30,5,4,2,5,2,28,4470,72,356,87,138,9,5,672,,2024-06-21 10:53:27,1,0,7,7,0,0,0.85
553,,,qnr2,interview,2024-06-21 12:37:43,-58.75,-46.25,8.75,-58.75,-38.75,-318.75,131.25,243.75,-468.75,-881.25,11,4,6,3,3,3,3,2,72,2,452,274,97,3053,11,11,566,,2024-06-21 13:42:44,1,0,7,7,0,0,0.81
554,,,qnr2,interview,2024-06-22 09:56:40,18.75,-38.75,-48.75,-48.75,-38.75,243.75,-843.75,-806.25,-843.75,-806.25,30,15,20,3,3,4,4,2,74,10,61,463,19,157,11,12,733,,2024-06-22 10:08:53,1,0,7,7,0,0,0.83
